doc_id,posting_entries_size,doc_size_bytes
427,620,10840
428,1172,30185
429,1636,22535
430,536,10554
431,832,17241
432,1724,24073
433,592,12200
434,752,16511
435,748,12979
436,1084,22989
437,884,16988
438,652,16519
439,588,14641
440,736,18514
441,752,17962
442,2432,41923
443,6540,78072
444,408,9375
445,1168,25611
446,1068,29749
447,620,23629
448,924,19203
449,820,17887
450,652,19889
451,1648,29308
452,1372,35585
453,1076,18125
454,596,10061
455,1608,32322
456,1144,15047
457,408,9896
458,456,12176
459,552,10231
460,556,12029
461,4084,50857
462,864,23857
463,392,9176
464,612,18680
465,892,14819
466,1428,15553
467,1272,30618
468,1320,16672
469,792,12237
470,504,13463
471,1084,26247
472,712,18805
473,548,10892
474,620,11641
475,588,11161
476,11076,154560
477,764,11676
478,948,19576
479,1780,30875
480,1588,32767
481,536,14104
482,936,16485
483,452,11620
484,568,11519
485,888,19135
486,1092,19801
487,1776,42629
488,640,12886
489,804,15207
490,828,13651
491,408,11424
492,520,15239
493,368,9178
494,712,17144
495,804,33840
496,1220,23631
497,924,29126
498,672,12458
499,880,18611
500,604,10628
501,1032,20080
502,956,14992
503,648,13547
504,452,11433
505,564,11757
506,712,18908
507,1320,23211
508,1308,21176
509,1896,30093
510,1572,21124
511,632,11484
512,556,14023
513,1028,15566
514,740,18010
515,448,12477
516,2204,26068
517,628,17655
518,1216,25752
519,564,17315
520,624,11747
521,1684,23940
522,1200,26685
523,1716,18092
524,1212,21402
525,984,21852
526,4556,53285
527,1516,28043
528,488,10948
529,668,17229
530,592,11465
531,2036,23310
532,704,14202
533,2380,72188
534,1132,23756
535,504,11112
536,400,12917
537,1000,11563
538,1456,19237
539,652,11374
540,472,18317
541,472,9533
542,1152,18314
543,720,18102
544,972,20154
545,6480,91596
546,784,16311
547,544,13647
548,916,16170
549,1252,16914
550,2420,25762
551,984,25114
552,3040,51465
553,688,15462
554,1020,11754
555,640,23761
556,1796,26164
557,2012,63362
558,960,14117
559,1292,17145
560,496,9879
561,1808,42585
562,1224,14115
563,444,15226
564,460,14383
565,428,12446
566,592,18207
567,596,12513
568,500,13274
569,1096,17437
570,960,20341
571,1152,50561
572,1396,20860
573,804,20275
574,1080,31136
575,616,10311
576,2432,39270
577,692,19122
578,1212,27856
579,664,14218
580,2308,80797
581,1668,47687
582,540,10509
583,604,11451
584,2048,39362
585,2108,41174
586,1268,22657
587,536,14462
588,564,15750
589,2756,83003
590,3028,53273
591,564,12232
