posting_length;retrieval_time
0;3,3855438232421875e-05
863;0,0010259151458740234
15;0,00011181831359863281
0;0,0015034675598144531
476;0,0007412433624267578
0;0,0007758140563964844
476;0,0003209114074707031
2320;0,0005576610565185547
52;0,00010585784912109375
1;0,00014829635620117188
6043;0,0008661746978759766
238;0,00034880638122558594
4153;0,0013458728790283203
0;0,0002315044403076172
951;0,0012478828430175781
805;0,0002644062042236328
1;0,0001232624053955078
6043;0,0007796287536621094
192;0,0004019737243652344
863;0,0008890628814697266
37;0,0004973411560058594
5782;0,001737356185913086
0;0,00031876564025878906
831;0,00038242340087890625
1;0,0001506805419921875
6043;0,0008285045623779297
4153;0,0012743473052978516
97;0,0003199577331542969
16;0,00011968612670898438
1;0,00010061264038085938
6043;0,0008769035339355469
0;0,0001285076141357422
1;5,4836273193359375e-05
24;0,00011467933654785156
338;0,00040650367736816406
1;8,630752563476562e-05
6043;0,0015473365783691406
6043;0,0025866031646728516
338;0,00014972686767578125
4153;0,0006690025329589844
0;6,866455078125e-05
0;7,152557373046875e-05
6043;0,0008814334869384766
132;0,00035190582275390625
1622;0,0007760524749755859
256;0,00017309188842773438
0;0,0003178119659423828
0;0,0001938343048095703
37;6,747245788574219e-05
0;8,726119995117188e-05
97;0,00037384033203125
24;0,0007991790771484375
0;2,0503997802734375e-05
1205;0,0008423328399658203
6;0,00010800361633300781
974;0,0007810592651367188
52;0,00021648406982421875
100;0,00011801719665527344
4;5,7697296142578125e-05
238;0,00033092498779296875
1045;0,0003209114074707031
0;1,8358230590820312e-05
15;0,0001125335693359375
1250;0,00043702125549316406
6043;0,0011935234069824219
197;0,0001475811004638672
6043;0,0018274784088134766
6043;0,0008437633514404297
974;0,00023674964904785156
347;0,00018095970153808594
1;9,036064147949219e-05
0;0,0007283687591552734
831;0,00022029876708984375
89;0,0008327960968017578
0;2,0265579223632812e-05
831;0,00027251243591308594
45;0,0008525848388671875
0;0,0004315376281738281
338;0,00014328956604003906
0;1,8596649169921875e-05
831;0,0002772808074951172
0;0,0003528594970703125
0;6,079673767089844e-05
6043;0,0008513927459716797
132;0,0004830360412597656
6043;0,0009250640869140625
0;7,653236389160156e-05
238;0,00016069412231445312
192;0,0003097057342529297
0;1,8835067749023438e-05
0;1,6450881958007812e-05
1935;0,0005788803100585938
1709;0,0005397796630859375
0;0,00010251998901367188
1124;0,0003781318664550781
5172;0,001001596450805664
1821;0,000476837158203125
1205;0,0002865791320800781
51;0,0002512931823730469
988;0,00031375885009765625
5782;0,0011444091796875
6043;0,0020787715911865234
1947;0,0015156269073486328
975;0,0007557868957519531
89;0,00011467933654785156
0;0,00019884109497070312
3151;0,0011990070343017578
6043;0,0009005069732666016
0;0,0005505084991455078
1878;0,0007071495056152344
0;4,0531158447265625e-05
1752;0,0006313323974609375
6258;0,0018343925476074219
1079;0,0012657642364501953
249;0,00029158592224121094
0;4,172325134277344e-05
6043;0,0007715225219726562
2491;0,001432180404663086
2105;0,0011472702026367188
6268;0,0019245147705078125
6044;0,0011360645294189453
1285;0,0004372596740722656
831;0,0005245208740234375
3;0,00014734268188476562
511;0,0002818107604980469
263;0,00024271011352539062
89;0,00031113624572753906
338;0,0001659393310546875
0;8,988380432128906e-05
1785;0,0005269050598144531
18;0,00016689300537109375
1872;0,0013833045959472656
717;0,0004527568817138672
1207;0,00039196014404296875
7823;0,0016078948974609375
1713;0,0013873577117919922
1880;0,0006330013275146484
338;0,00016832351684570312
6044;0,001600027084350586
0;0,00010895729064941406
685;0,0007891654968261719
322;0,0001850128173828125
7834;0,002274036407470703
2254;0,0007109642028808594
256;0,00013518333435058594
2101;0,0006494522094726562
273;0,0008833408355712891
1923;0,0009162425994873047
206;0,00017690658569335938
868;0,0006089210510253906
7167;0,0018107891082763672
52;0,0001304149627685547
136;0,000583648681640625
1077;0,0005497932434082031
814;0,000274658203125
685;0,0003733634948730469
172;0,0005140304565429688
2585;0,0010750293731689453
1929;0,0014421939849853516
4205;0,0008006095886230469
2208;0,0006608963012695312
149;0,00038814544677734375
2782;0,0014514923095703125
831;0,00024318695068359375
2351;0,0017316341400146484
6043;0,0021157264709472656
1904;0,0014979839324951172
519;0,0003027915954589844
1791;0,0008444786071777344
6141;0,0012712478637695312
1798;0,0005388259887695312
2766;0,0012216567993164062
0;0,00021839141845703125
100;0,0005159378051757812
9;0,00012445449829101562
707;0,0005538463592529297
90;0,00029206275939941406
52;0,0001533031463623047
831;0,00029587745666503906
2866;0,0012669563293457031
839;0,0006175041198730469
1647;0,0005536079406738281
2073;0,0006716251373291016
1250;0,0004775524139404297
1780;0,00048422813415527344
1837;0,0006451606750488281
16;8,630752563476562e-05
6067;0,002059459686279297
100;0,00031256675720214844
2740;0,0009338855743408203
66;0,00013756752014160156
6043;0,000782012939453125
7562;0,0018999576568603516
1;0,0004975795745849609
18;0,0007879734039306641
1780;0,0008349418640136719
655;0,0002923011779785156
13;0,0007944107055664062
708;0,0010342597961425781
12673;0,0023641586303710938
