posting_list_size,frequency
172,178
20,289
4,658118
52,6
148,3
68,7
60,4
24,133
28,88
88,3
12,2044
8,9367
40,22
144,3
168,4
16,522
84,5
80,1
44,19
56,8
36,53
160,2
104,1
32,74
76,7
112,1
100,2
64,5
120,1
72,5
96,5
48,13
156,1
124,1
92,4
140,1
132,1
116,1
272,1
108,1
