doc_id,posting_entries_size,doc_size_bytes
500,1752,19065
501,2884,120741
502,2536,29911
503,1720,15589
504,1688,16745
505,4760,51281
506,1264,12789
507,1968,17300
508,2208,29597
509,1060,10290
510,1976,20624
511,1900,21669
512,1896,16745
513,1144,10939
514,2040,25694
515,1232,12072
516,1140,11637
517,2784,23338
518,1088,10495
519,1032,9889
520,2508,23929
521,3728,113622
522,2016,32274
523,2532,23857
524,1764,16470
525,2404,28267
526,2456,22734
527,2168,25306
528,2124,20758
529,1352,13311
530,1720,16687
531,4208,35946
532,1224,10758
533,2120,13998
534,1576,13738
535,1408,13283
536,1208,13245
537,1664,23724
538,7540,78750
539,1388,14791
540,1240,12321
541,2936,31227
542,2600,29252
543,1440,16589
544,2692,31533
545,3324,47915
546,2492,27414
547,2312,16778
548,1984,22457
549,5444,77892
550,1588,27450
551,1908,26859
552,2612,28786
553,1364,14880
554,1532,13779
555,2004,16963
556,4196,63934
557,1108,19564
558,1544,12869
559,6588,56676
560,1852,28368
561,1104,9281
562,1736,16667
563,2108,40239
564,4180,44706
565,3140,23708
566,2236,53243
567,1812,17636
568,1308,13284
569,1248,12516
570,2248,22503
571,2260,18562
572,1280,13671
573,10480,127916
574,3212,41946
575,1844,20206
576,2496,23155
577,1388,11239
578,1712,34910
579,2064,18124
580,1256,11916
581,1416,12530
582,1480,14499
583,2308,75950
584,1432,12898
585,1232,13257
586,1656,15200
587,2048,23668
588,4420,40551
589,1700,16211
590,1764,22837
591,1096,11589
592,1432,14285
593,1476,18967
594,1160,11106
595,3612,45365
596,1928,23528
597,3536,23197
598,2344,25620
599,1544,13818
600,1872,22244
601,3400,33327
602,1376,13293
603,1272,14296
604,1212,11719
605,3136,41213
606,1896,20354
607,1996,28117
608,2324,26283
609,1244,12160
610,1800,18453
611,1724,23516
612,1328,12449
613,1280,72235
614,9900,120963
615,3620,35433
616,1652,16395
617,2672,22215
618,1540,15002
619,1232,11953
620,2952,21380
621,1380,14435
622,2004,24718
623,1848,17464
624,1352,13779
625,1244,10256
626,1200,12536
627,2672,26312
628,2320,30520
629,1256,14769
630,1172,11178
631,3068,29335
632,1604,14997
633,3288,31270
634,2476,21917
635,1412,11816
636,2396,33511
