query_length;terms_postings_length;skips_retrieval_time;non_skips_retrieval_time
2;0;0,0025069713592529297;0,0002224445343017578
2;1392;0,0028848648071289062;0,001462697982788086
2;60;0,0004892349243164062;0,0003223419189453125
2;688;0,0003895759582519531;0,0003681182861328125
2;986;0,0004935264587402344;0,0003592967987060547
2;6043;0,000980377197265625;0,0004563331604003906
2;1287;0,0029413700103759766;0,0023419857025146484
2;6043;0,0004086494445800781;0,0003325939178466797
2;68;0,0002593994140625;0,00020194053649902344
2;328;0,00029969215393066406;0,00041556358337402344
2;6045;0,0006170272827148438;0,002390623092651367
2;6939;0,010757684707641602;0,005187511444091797
2;5213;0,008949041366577148;0,0038962364196777344
2;896;0,0003178119659423828;0,00019359588623046875
2;7242;0,01126551628112793;0,0051538944244384766
2;854;0,0008485317230224609;0,0008370876312255859
2;121;0,0002453327178955078;0,0003540515899658203
2;6044;0,0005919933319091797;0,003164529800415039
2;1698;0,0026674270629882812;0,0014567375183105469
2;2837;0,004973888397216797;0,002123117446899414
2;42;0,00020384788513183594;0,00016546249389648438
2;7665;0,013184547424316406;0,005246877670288086
1;1099;0,0003132820129394531;0,00018143653869628906
2;1363;0,0021584033966064453;0,0011920928955078125
2;226;0,00026416778564453125;0,00032520294189453125
2;6043;0,00032782554626464844;0,00031638145446777344
2;5422;0,009058237075805664;0,003984212875366211
2;775;0,0011572837829589844;0,0007722377777099609
2;75;0,00035953521728515625;0,0002410411834716797
2;61;0,0007314682006835938;0,00024580955505371094
2;83;0,0003266334533691406;0,0002295970916748047
2;470;0,0002944469451904297;0,0004487037658691406
2;1;0,00017523765563964844;0,00014853477478027344
2;1240;0,0010328292846679688;0,0010771751403808594
2;1350;0,0025451183319091797;0,0011818408966064453
1;1;0,0001804828643798828;0,0001499652862548828
2;2399;0,0043027400970458984;0,001977682113647461
2;6731;0,010357141494750977;0,005037784576416016
2;414;0,0002186298370361328;0,00016236305236816406
2;3502;0,0013682842254638672;0,002857208251953125
2;0;0,00014281272888183594;0,0001163482666015625
2;65;0,00017452239990234375;0,00014352798461914062
2;6177;0,005509376525878906;0,004846811294555664
2;7095;0,011120796203613281;0,00522160530090332
2;2897;0,004976987838745117;0,0022144317626953125
2;534;0,0008573532104492188;0,0005891323089599609
2;1404;0,0002892017364501953;0,00017547607421875
2;718;0,00018835067749023438;0,000156402587890625
2;42;0,00017070770263671875;0,00014734268188476562
2;2013;0,002766132354736328;0,001676797866821289
2;1044;0,0013790130615234375;0,000982522964477539
2;6072;0,0019617080688476562;0,004884481430053711
2;0;0,0001785755157470703;0,0001270771026611328
2;2952;0,005031585693359375;0,002184152603149414
2;69;0,00028777122497558594;0,00021791458129882812
2;987;0,0002028942108154297;0,0001621246337890625
2;407;0,0007610321044921875;0,0004742145538330078
2;6064;0,0016968250274658203;0,0047800540924072266
2;6043;0,00030231475830078125;0,0003254413604736328
2;7251;0,011528491973876953;0,00528407096862793
2;2715;0,0025072097778320312;0,0022056102752685547
2;0;0,00013518333435058594;0,00011610984802246094
2;6061;0,0014262199401855469;0,004514932632446289
2;1547;0,0010843276977539062;0,0013613700866699219
2;7516;0,01190185546875;0,005601167678833008
2;252;0,0006656646728515625;0,0004401206970214844
2;3498;0,0012090206146240234;0,003087282180786133
2;6043;0,0004096031188964844;0,00034356117248535156
1;987;0,00023245811462402344;0,00018453598022460938
2;351;0,00028061866760253906;0,00040531158447265625
2;12;0,00021529197692871094;0,00017404556274414062
2;6043;0,0003619194030761719;0,0003159046173095703
2;1017;0,0002913475036621094;0,0006556510925292969
2;12086;0,017705917358398438;0,006280422210693359
2;0;0,00020170211791992188;0,0001251697540283203
2;1082;0,0013079643249511719;0,00099945068359375
2;12086;0,01715373992919922;0,006184816360473633
2;0;0,00019788742065429688;0,00013017654418945312
2;414;0,00019884109497070312;0,00015544891357421875
2;1;0,00016427040100097656;0,000141143798828125
2;1268;0,0012805461883544922;0,0011105537414550781
2;1525;0,00019931793212890625;0,0001659393310546875
2;18;0,00016880035400390625;0,0001437664031982422
2;6043;0,0003254413604736328;0,00032019615173339844
2;7754;0,012287378311157227;0,005410671234130859
2;6198;0,005826234817504883;0,004891395568847656
2;65;0,00021028518676757812;0,00015401840209960938
2;7254;0,011283397674560547;0,005297183990478516
2;1058;0,001859903335571289;0,0009779930114746094
1;0;0,00014138221740722656;0,00012230873107910156
2;1;0,00016617774963378906;0,0001430511474609375
2;6539;0,009458303451538086;0,004931926727294922
2;1958;0,0029811859130859375;0,0016434192657470703
2;190;0,0002110004425048828;0,0001595020294189453
2;1627;0,002546548843383789;0,0014121532440185547
2;11221;0,016341686248779297;0,006588935852050781
1;1941;0,0003006458282470703;0,0002079010009765625
2;1221;0,0002589225769042969;0,0004315376281738281
2;994;0,0012068748474121094;0,0009050369262695312
2;1589;0,0020799636840820312;0,001361846923828125
3;6883;0,011158943176269531;0,0050885677337646484
3;6731;0,010559797286987305;0,005112171173095703
3;13818;0,020058393478393555;0,007863044738769531
3;2599;0,004801034927368164;0,002111196517944336
3;7940;0,012849092483520508;0,005403995513916016
3;1153;0,0003190040588378906;0,00019812583923339844
3;8303;0,012955665588378906;0,006597757339477539
3;6731;0,010338306427001953;0,005026817321777344
3;13;0,00029158592224121094;0,00019502639770507812
3;2505;0,0022711753845214844;0,002441883087158203
2;0;0,00015211105346679688;0,00014090538024902344
3;7796;0,0034673213958740234;0,006295919418334961
3;7266;0,009746551513671875;0,006257295608520508
3;13559;0,019359111785888672;0,007626771926879883
3;584;0,0009374618530273438;0,0007429122924804688
2;0;0,00014925003051757812;0,00013375282287597656
3;6043;0,0002758502960205078;0,00025010108947753906
3;1037;0,001585245132446289;0,0010113716125488281
3;5570;0,008964300155639648;0,004832029342651367
3;9851;0,01306772232055664;0,006957054138183594
3;7233;0,0005397796630859375;0,005889415740966797
3;1534;0,0008838176727294922;0,0015819072723388672
3;2104;0,0037620067596435547;0,0016939640045166016
3;28;0,0002789497375488281;0,00020885467529296875
3;7409;0,005640983581542969;0,006453514099121094
3;408;0,0007779598236083984;0,0006182193756103516
3;6927;0,010755062103271484;0,005183696746826172
3;414;0,0002589225769042969;0,0001800060272216797
3;66;0,00022912025451660156;0,00019598007202148438
3;13;0,00022530555725097656;0,0001857280731201172
3;6065;0,0016808509826660156;0,00477147102355957
3;6171;0,0007164478302001953;0,005597829818725586
3;1132;0,0021581649780273438;0,0010311603546142578
3;1668;0,003031015396118164;0,0014121532440185547
3;6163;0,005440473556518555;0,00496363639831543
3;13818;0,019709110260009766;0,007832527160644531
3;6108;0,003580808639526367;0,004737377166748047
3;414;0,00022864341735839844;0,00017189979553222656
3;6540;0,0004467964172363281;0,005595684051513672
3;6049;0,0008759498596191406;0,004428863525390625
3;2702;0,0028405189514160156;0,002668142318725586
3;1680;0,0030298233032226562;0,0015001296997070312
3;6073;0,0020437240600585938;0,00480198860168457
3;12116;0,0033757686614990234;0,0071985721588134766
2;469;0,00024700164794921875;0,00017404556274414062
3;2351;0,004070281982421875;0,0019032955169677734
2;843;0,0015285015106201172;0,0008759498596191406
3;7293;0,002096414566040039;0,006142139434814453
3;283;0,0006768703460693359;0,00040268898010253906
3;3899;0,0020308494567871094;0,0037794113159179688
3;7447;0,011630058288574219;0,005326032638549805
3;68;0,000278472900390625;0,00021529197692871094
3;13818;0,01929330825805664;0,007720232009887695
3;7863;0,010365009307861328;0,006742715835571289
3;833;0,000308990478515625;0,00018668174743652344
3;827;0,0012056827545166016;0,0009739398956298828
3;190;0,0002086162567138672;0,00016450881958007812
3;1473;0,0027201175689697266;0,0013179779052734375
3;8280;0,011669397354125977;0,006602287292480469
3;3563;0,0006244182586669922;0,0034682750701904297
3;673;0,0007114410400390625;0,0008113384246826172
3;1104;0,0007011890411376953;0,0012044906616210938
3;4542;0,00740361213684082;0,003706216812133789
2;1016;0,00030303001403808594;0,00018715858459472656
3;7995;0,012665510177612305;0,00632476806640625
3;11827;0,01685929298400879;0,006284952163696289
3;10973;0,016473054885864258;0,006154298782348633
3;558;0,0006628036499023438;0,0007417201995849609
3;1503;0,0010781288146972656;0,0013120174407958984
3;7196;0,005788564682006836;0,0063555240631103516
3;22;0,00022172927856445312;0,00017142295837402344
3;2756;0,004300832748413086;0,00244903564453125
3;936;0,0002276897430419922;0,00018215179443359375
3;6073;0,001998424530029297;0,00468134880065918
3;42;0,00020503997802734375;0,0001621246337890625
3;1774;0,0015082359313964844;0,0017790794372558594
3;7030;0,00048232078552246094;0,005673885345458984
2;6103;0,003268003463745117;0,0047454833984375
3;2227;0,003923654556274414;0,0018177032470703125
3;5689;0,008797883987426758;0,004797458648681641
3;2529;0,0028295516967773438;0,0024194717407226562
3;1889;0,001430511474609375;0,0017702579498291016
2;3034;0,005235195159912109;0,0023224353790283203
2;1641;0,0023763179779052734;0,0014338493347167969
3;0;0,0001518726348876953;0,0004973411560058594
3;2165;0,0038001537322998047;0,001753091812133789
2;19;0,0002493858337402344;0,00019478797912597656
3;12115;0,0032095909118652344;0,006937742233276367
3;7060;0,0005059242248535156;0,004159688949584961
3;7372;0,007879495620727539;0,006290912628173828
3;76;0,00039577484130859375;0,00025272369384765625
2;6044;0,0004937648773193359;0,0031511783599853516
3;6617;0,010507583618164062;0,0049152374267578125
3;1;0,00021648406982421875;0,00016546249389648438
3;6071;0,0004436969757080078;0,0053026676177978516
3;1199;0,00023698806762695312;0,0001804828643798828
3;6268;0,007359743118286133;0,0049402713775634766
3;5806;0,00043892860412597656;0,0017771720886230469
3;718;0,0002238750457763672;0,00017571449279785156
3;6683;0,010249853134155273;0,005101919174194336
